instanceLabel,item,itemLabel,entity_id,related_works_count
human,http://www.wikidata.org/entity/Q3294066,Karel Vasak,Q3294066,0
human,http://www.wikidata.org/entity/Q6242508,John Kasper,Q6242508,0
human,http://www.wikidata.org/entity/Q14626608,Jean Kahn,Q14626608,0
human,http://www.wikidata.org/entity/Q7811663,Tobias Simon,Q7811663,0
human,http://www.wikidata.org/entity/Q1733409,Karl Wilhelm Fricke,Q1733409,0
human,http://www.wikidata.org/entity/Q38176073,Angélica Mendoza de Ascarza,Q38176073,1
human,http://www.wikidata.org/entity/Q24398859,Maxine Smith,Q24398859,0
human,http://www.wikidata.org/entity/Q326830,Johan Galtung,Q326830,3
human,http://www.wikidata.org/entity/Q68126,Felicia Langer,Q68126,0
human,http://www.wikidata.org/entity/Q708814,Li Zehou,Q708814,1
human,http://www.wikidata.org/entity/Q545569,Sergei Kovalev,Q545569,0
human,http://www.wikidata.org/entity/Q4707601,Alan Reich,Q4707601,0
human,http://www.wikidata.org/entity/Q5081070,Charles Morgan,Q5081070,0
human,http://www.wikidata.org/entity/Q5238227,David Oluwale,Q5238227,0
human,http://www.wikidata.org/entity/Q6663554,Lobat Vala,Q6663554,0
human,http://www.wikidata.org/entity/Q6821229,Mesfin Woldemariam,Q6821229,0
human,http://www.wikidata.org/entity/Q43033,Desmond Tutu,Q43033,9
human,http://www.wikidata.org/entity/Q82398,Haitham al-Maleh,Q82398,0
human,http://www.wikidata.org/entity/Q7506732,Siamak Pourzand,Q7506732,0
human,http://www.wikidata.org/entity/Q7825861,Torkel Opsahl,Q7825861,0
human,http://www.wikidata.org/entity/Q6849602,Mikhail Makarenko,Q6849602,0
human,http://www.wikidata.org/entity/Q15633866,Mathew H. Ahmann,Q15633866,1
human,http://www.wikidata.org/entity/Q7442361,Sebastian Arcos Bergnes,Q7442361,0
human,http://www.wikidata.org/entity/Q62081674,Robbie Waisman,Q62081674,1
human,http://www.wikidata.org/entity/Q65679773,Bill Barnes,Q65679773,0
human,http://www.wikidata.org/entity/Q2836179,Ali Bourequat,Q2836179,0
